reasoning,output,score
0,0,-0.8233916668763628
0,0,-0.8783511425858026
0,0,0.6720223600129338
0,0,0.6382751747318836
0,0,0.6772568409328883
0,0,-0.1616855425468542
0,0,-0.8621567293585233
0,0,0.09592725458433016
0,0,0.14538008193951812
0,0,0.09565935955204208
0,0,0.6312647560224229
0,0,-0.1804571405183779
0,0,0.07574322199178396
0,0,-0.07732236105890111
0,0,-0.22568967834377762
0,0,-0.7906823105650838
0,0,-0.08514415139298248
0,0,-0.09159828462440345
0,0,-0.5810577610707517
0,0,0.10975493556270477
0,0,-0.4859897536731479
0,0,0.37207245347568874
0,0,-0.18026800061912662
0,0,-0.035148155219622446
0,0,-0.22038943236902409
0,0,-0.43057624253867566
0,0,-0.19525806441408422
0,0,0.13526029096223846
0,0,0.6616006945191193
0,0,0.3119928967036567
0,0,0.38941879096336685
0,0,0.37041925646413243
0,0,-0.45192207536286766
0,0,0.4715545675934416
0,0,0.21778356664695697
0,0,0.4135357266719206
0,0,-0.11534638223955684
0,0,-0.07464714665856453
0,0,-0.48098261605612413
0,0,0.20941345024439317
0,0,0.9814625123126595
0,0,-0.39282574876367415
0,0,0.8461386983127603
0,0,0.8092733935726695
0,0,0.35478334066945405
0,0,0.47686009098674464
0,0,-0.5648172156080689
0,0,0.035641837435283374
0,0,0.9531744406292519
0,0,0.5300057505899307
0,0,-0.6031010441381912
0,0,0.924779444565129
0,0,-0.06200434117264719
0,0,-0.9865539445601024
0,0,-0.5780751498963013
0,0,0.6676798212307609
0,0,0.3802361042406788
0,0,0.8581113241820708
0,0,-0.08441793805061071
0,0,0.7765531954398246
0,0,-0.32567107543588714
0,0,-0.4281564352073839
0,0,0.32720819878873586
0,0,0.49142949664274926
0,0,-0.28032254317453087
0,0,-0.11694311697573312
0,0,0.2546385756306313
0,0,-0.4924018709082092
0,0,-0.10425234269485295
0,0,0.6341855541924584
0,0,0.5276494978585353
0,0,-0.31052187622512917
0,0,-0.04796731902796014
0,0,0.07788749847612131
0,0,0.5332305884296513
0,0,-0.8649439741990839
0,0,0.5375143740725492
0,0,0.3546017240407271
0,0,-0.03632686846311106
0,0,0.6091863058071907
0,0,-0.7422390215573971
0,0,0.8090587486068064
0,0,0.1928317759592324
0,0,-0.9676409478121477
0,0,-0.2286938696852261
0,0,0.6426371401683655
0,0,0.7126633284322417
0,0,0.729445242221781
0,0,0.9253361908376667
0,0,0.6918016004785839
0,0,0.0021201065956968357
0,0,-0.20736171979694418
0,0,-0.05926044432360977
0,0,0.947814110936356
0,0,-0.22650861382898646
0,0,0.19019239603456062
0,0,-0.9013709553929379
0,0,-0.03447921303401302
0,0,-0.15963084425038088
0,0,-0.6974608677957832
0,0,-0.8852188330248421
0,0,-0.9591149649963833
0,0,-0.6171349108886015
0,0,-0.8988311348532956
0,0,0.19944851736692604
0,0,0.8545543557728015
0,0,-0.8799174386638189
0,0,-0.9981746656384243
0,0,-0.5385573889055946
0,0,-0.39090761894295656
0,0,-0.9500742435228764
0,0,0.3526330254969985
0,0,-0.36176068294835484
0,0,-0.8914249652154158
0,0,0.8973671690900606
0,0,-0.34099216135793786
0,0,0.7525362025070408
0,0,-0.4859059428778649
0,0,-0.08796809947913031
0,0,0.9779676431120088
0,0,0.7407460204230398
0,0,0.9834716652461235
0,0,-0.5968275814989652
0,0,-0.026575942961585053
0,0,-0.1347252450372507
0,0,0.8507618558786414
0,0,-0.68565112845774
0,0,0.25557982655681943
0,0,0.4759550080534698
0,0,0.7227562303097264
0,0,-0.9908993203021805
0,0,-0.4861363848681097
0,0,-0.04628330510954548
0,0,0.5458412990237878
0,0,0.8449859016945271
0,0,-0.07121292948738756
0,0,-0.4449854742970065
0,0,-0.4805686355558523
0,0,0.22859905373266054
0,0,0.10111573642094474
0,0,-0.40708976390388885
0,0,0.9236511806311796
0,0,-0.052905408844748925
0,0,-0.06587637643095379
0,0,0.8037695037715138
0,0,0.37831823093162
0,0,0.8119336083877102
0,0,-0.6117149857842203
0,0,-0.9114358919057195
0,0,0.01617093248092849
0,0,0.27525210521112164
0,0,0.975591178101388
0,0,0.22027754087949014
0,0,-0.011608843422828086
0,0,0.5028520573627513
0,0,0.423158774745527
0,0,0.5404092849148814
0,0,0.5298803082476811
0,0,-0.06523939575372162
0,0,0.2955460607204137
0,0,0.15411762276857166
0,0,0.2715988048966802
0,0,-0.4577432704337179
0,0,-0.8425759967104602
0,0,0.8688682645200678
0,0,-0.37175333473154226
0,0,0.9371222679720654
0,0,-0.7314596851055375
0,0,0.3527634277134679
0,0,-0.01464810080428447
0,0,-0.8429888735460438
0,0,-0.9322301080505893
0,0,0.39249222026965547
0,0,-0.7528547584771592
0,0,0.9368123934953598
0,0,0.17662426982352986
0,0,0.1292313035576127
0,0,-0.49061664351146783
0,0,0.6976964558562662
0,0,0.5678468037748856
0,0,0.029443017626322288
0,0,-0.1468116674902058
0,0,-0.49852776233211293
0,0,0.0012548499752591535
0,0,0.7162049664080685
0,0,-0.700130754303947
0,0,0.41878321797405893
0,0,0.04985499568288043
0,0,0.2996471507036387
0,0,0.3211096921024388
0,0,-0.21287218300969002
0,0,-0.4513629671610493
0,0,0.225306866145643
0,0,-0.21073913190261262
0,0,0.8652601312410428
0,0,0.9807926501132282
0,0,-0.6110531459464277
0,0,-0.545841833265863
0,0,0.901514896268524
0,0,-0.47223998815318713
0,0,-0.16710254317873052
0,0,0.43843240458117516
0,0,0.46159340563517937
0,0,-0.9524963736199878
0,0,0.31602789726333413
0,0,0.2187908834266703
0,0,-0.28232519202148243
0,0,-0.8464477813765459
0,0,0.1347693168758286
0,0,-0.505022998218797
0,0,-0.002949826317302451
0,0,-0.007028056929527793
0,0,-0.811183948314484
0,0,0.6263265753383185
0,0,-0.6514637067208766
0,0,-0.8148673678473839
0,0,0.527323265181064
0,0,-0.2245792617189879
0,0,-0.5934127006132786
0,0,0.6786475612158627
0,0,0.35709653668427555
0,0,-0.032404174632143956
0,0,-0.16349349651966572
0,0,-0.9978826689893718
0,0,-0.5017076293203548
0,0,-0.21615971427113045
0,0,0.8819771725157668
0,0,-0.9669706032720256
0,0,0.9891883463554454
0,0,0.29970657332137285
0,0,-0.895060634235455
0,0,-0.5266437589946644
0,0,-0.37150016380171635
0,0,0.37736059324804194
0,0,0.6459345091191537
0,0,0.4451006090198648
0,0,-0.4983558504578727
0,0,-0.3149570649404476
0,0,0.34885232993936044
0,0,0.6351111695990359
0,0,0.8084330611625394
0,0,-0.737920179596028
0,0,-0.4148529444187341
0,0,-0.3497300333847122
0,0,0.6161801812542405
0,0,-0.37984952892384327
0,0,0.3910277902507713
0,0,-0.07418208702766727
0,0,-0.04427451468297394
0,0,0.06905833243468695
0,0,-0.8279745139393277
0,0,-0.5340054392832625
0,0,0.47551725508671305
0,0,-0.5425395590347715
0,0,-0.4640469971314962
0,0,0.21148935006232672
0,0,-0.15636280583192752
0,0,-0.7975247510081658
